Term	Dept	Crse	Sect	Title	FacultyName	StartDate	EndDate	ReportLink	FlagNoReview	ClassSize	OverallMean	OverallSD	OverallResponseRate	QualityMean	QualitySD	QualityMedian	QualityResponseRate	InstructorMean	InstructorSD	InstructorMedian	InstructorResponseRate	IntellectualChallengeMean	IntellectualChallengeSD	IntellectualChallengeMedian	IntellectualChallengeRate	TAMean	TASD	TAMedian	TARate	FeedbackMean	FeedbackSD	FeedbackMedian	FeedbackRate	RelativeWorkMean	RelativeWorkSD	RelativeWorkMedian	RelativeWorkRate
AE Fall 2023	AS Anthropology	AS.070.132	01	Invitation to Anthropology	"Khan, Naveeda"	08/28/2023	12/08/2023	Link	1	0																											
AE Fall 2023	AS Anthropology	AS.070.132	02	Invitation to Anthropology	"Khan, Naveeda"	08/28/2023	12/08/2023	Link	0	13	4.11	0.77	0.923076923	4.25	0.87	4.5	0.923076923	4.36	0.81	5	0.923076923	4.45	0.82	5	0.923076923	4.17	0.94	4.5	0.923076923	4.36	0.5	4	0.923076923	3.08	0.67	3	0.923076923
AE Fall 2023	AS Anthropology	AS.070.132	03	Invitation to Anthropology	"Khan, Naveeda"	08/28/2023	12/08/2023	Link	0	15	4.02	0.8	1	4	0.65	4	1	4	1	4	1	4.2	0.77	4	1	4.73	0.46	5	1	4.33	0.9	5	1	2.87	0.99	3	1
AE Fall 2023	AS Anthropology	AS.070.132	04	Invitation to Anthropology	"Khan, Naveeda"	08/28/2023	12/08/2023	Link	0	19	4.04	0.79	0.736842105	3.93	1.07	4	0.736842105	3.93	1.38	4	0.736842105	4	0.78	4	0.736842105	4.86	0.36	5	0.736842105	4.57	0.65	5	0.736842105	2.93	0.47	3	0.736842105
AE Fall 2023	AS Anthropology	AS.070.132	05	Invitation to Anthropology	"Khan, Naveeda"	08/28/2023	12/08/2023	Link	0	16	3.85	0.93	0.9375	4	0.85	4	0.9375	4.27	0.8	4	0.9375	4.08	1.04	4	0.8125	3.73	1.1	4	0.9375	3.87	1.19	4	0.9375	3.13	0.64	3	0.9375
AE Fall 2023	AS Anthropology	AS.070.202	01	Mapping Communities	"Procupez, Valeria"	08/28/2023	12/08/2023	Link	0	7	4.27	0.5	1	4.43	0.53	4	1	4.86	0.38	5	1	4.57	0.53	5	1	4.5	0.55	4.5	1	4.57	0.53	5	1	2.71	0.49	3	1
AE Fall 2023	AS Anthropology	AS.070.267	01	"Culture, Religion and Politics in Iran"	"Haeri, Niloofar"	08/28/2023	12/08/2023	Link	0	11	4.29	0.65	1	4.82	0.4	5	1	4.73	0.65	5	1	4.45	0.52	4	1	4.63	0.52	5	0.909090909	4.36	1.03	5	1	2.73	0.79	3	1
AE Fall 2023	AS Anthropology	AS.070.273	01	Ethnographies	"Procupez, Valeria"	08/28/2023	12/08/2023	Link	0	11	4.4	0.55	1	4.82	0.4	5	1	4.73	0.47	5	1	4.55	0.52	5	1	0	0	0	1	4.6	0.52	5	0.909090909	3.3	0.82	3	0.909090909
AE Fall 2023	AS Anthropology	AS.070.286	01	Reading Gandhi in the Contemporary Moment	"Joshi, Kunal"	08/28/2023	12/08/2023	Link	0	9	4.4	0.43	1	4.89	0.33	5	1	4.89	0.33	5	1	4.89	0.33	5	1	0	0	0	1	4.22	0.83	4	1	3.11	0.33	3	1
AE Fall 2023	AS Anthropology	AS.070.306	01	The Power and Politics of Ruins	"Khan, Naveeda"	08/28/2023	12/08/2023	Link	1																												
