Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Price,Earnings,Earnings,CAPE
1871.01,4.44,0.26,0.4,12.46406116,1871.041667,5.32,108.5415085,6.35603428,108.5415085,9.772384653,9.772384653,NA
1871.02,4.5,0.26,0.4,12.84464132,1871.125,5.323333333,106.7487963,6.167708231,107.262772,9.488781895,9.534468622,NA
1871.03,4.61,0.26,0.4,13.0349719,1871.208333,5.326666667,107.7614137,6.077650233,108.7891744,9.350231127,9.439407758,NA
1871.04,4.74,0.26,0.4,12.55922645,1871.291667,5.33,114.9973691,6.307872568,116.6248112,9.704419335,9.841756221,NA
1871.05,4.86,0.26,0.4,12.27381157,1871.375,5.333333333,120.6505405,6.454555665,122.903478,9.930085638,10.11551259,NA
1871.06,4.82,0.26,0.4,12.08348099,1871.458333,5.336666667,121.5422941,6.556223332,124.3684376,10.08649743,10.32103216,NA
1871.07,4.73,0.26,0.4,12.08348099,1871.541667,5.34,119.2728322,6.556223332,122.6052612,10.08649743,10.36830962,NA
1871.08,4.79,0.26,0.4,11.8932314,1871.625,5.343333333,122.717952,6.661099691,126.7172368,10.24784568,10.58181518,NA
1871.09,4.84,0.26,0.4,12.17864628,1871.708333,5.346666667,121.0929332,6.504992277,125.5990086,10.00768043,10.38008336,NA
1871.1,4.59,0.26,0.4,12.36889587,1871.791667,5.35,113.0717741,6.404937096,117.8329748,9.853749379,10.26866883,NA
1871.11,4.64,0.26,0.4,12.36889587,1871.875,5.353333333,114.3034928,6.404937096,119.672778,9.853749379,10.31661879,NA
1871.12,4.74,0.26,0.4,12.65439174,1871.958333,5.356666667,114.1325502,6.260435241,120.0400149,9.631438832,10.12995906,NA
1872.01,4.86,0.2633,0.4025,12.65439174,1872.041667,5.36,117.0219818,6.339894611,123.6346731,9.691635325,10.23929134,NA
1872.02,4.88,0.2667,0.405,12.65439174,1872.125,5.378333333,117.5035538,6.421761841,124.7088447,9.751831817,10.3498119,NA
1872.03,5.04,0.27,0.4075,12.84464132,1872.208333,5.396666667,119.5586519,6.404927779,127.456434,9.666696555,10.30525731,NA
1872.04,5.18,0.2733,0.41,13.13013719,1872.291667,5.415,120.2078834,6.342242186,128.7119854,9.514523587,10.18762819,NA
1872.05,5.18,0.2767,0.4125,13.13013719,1872.375,5.433333333,120.2078834,6.421143114,129.2849359,9.572538975,10.29537376,NA
1872.06,5.13,0.28,0.415,13.0349719,1872.458333,5.451666667,119.9167142,6.545161789,129.5583965,9.700864794,10.48084494,NA
1872.07,5.1,0.2833,0.4175,12.84464132,1872.541667,5.47,120.9819692,6.720429777,131.3143657,9.903916103,10.74975445,NA
1872.08,5.04,0.2867,0.42,12.93980661,1872.625,5.488333333,118.6793626,6.75106612,129.4257428,9.889946879,10.78547856,NA
1872.09,4.95,0.29,0.4225,13.0349719,1872.708333,5.506666667,115.7091102,6.778917567,126.8025972,9.876181628,10.82304996,NA
1872.1,4.97,0.2933,0.425,12.74947603,1872.791667,5.525,118.7781362,7.009582966,130.8059976,10.15708408,11.18562354,NA
