Date,GOP
1871.01,1
1871.02,1
1871.03,1
1871.04,1
1871.05,1
1871.06,1
1871.07,1
1871.08,1
1871.09,1
1871.1,1
1871.11,1
1871.12,1
1872.01,1
1872.02,1
1872.03,1
1872.04,1
1872.05,1
1872.06,1
1872.07,1
1872.08,1
1872.09,1
1872.1,1
1872.11,1
1872.12,1
1873.01,1
1873.02,1
1873.03,1
1873.04,1
1873.05,1
1873.06,1
1873.07,1
1873.08,1
1873.09,1
1873.1,1
1873.11,1
1873.12,1
1874.01,1
1874.02,1
1874.03,1
1874.04,1
1874.05,1
1874.06,1
1874.07,1
1874.08,1
1874.09,1
1874.1,1
1874.11,1
1874.12,1
1875.01,1
1875.02,1
1875.03,1
1875.04,1
1875.05,1
1875.06,1
1875.07,1
1875.08,1
1875.09,1
1875.1,1
1875.11,1
1875.12,1
1876.01,1
1876.02,1
1876.03,1
1876.04,1
1876.05,1
1876.06,1
1876.07,1
1876.08,1
1876.09,1
1876.1,1
1876.11,1
1876.12,1
1877.01,1
1877.02,1
1877.03,1
1877.04,1
1877.05,1
1877.06,1
1877.07,1
1877.08,1
1877.09,1
1877.1,1
1877.11,1
1877.12,1
1878.01,1
1878.02,1
1878.03,1
1878.04,1
1878.05,1
1878.06,1
1878.07,1
1878.08,1
1878.09,1
1878.1,1
1878.11,1
1878.12,1
1879.01,1
1879.02,1
1879.03,1
1879.04,1
1879.05,1
1879.06,1
1879.07,1
1879.08,1
1879.09,1
1879.1,1
1879.11,1
1879.12,1
1880.01,1
1880.02,1
1880.03,1
1880.04,1
1880.05,1
1880.06,1
1880.07,1
1880.08,1
1880.09,1
1880.1,1
1880.11,1
1880.12,1
1881.01,1
1881.02,1
1881.03,1
1881.04,1
1881.05,1
1881.06,1
1881.07,1
1881.08,1
1881.09,1
1881.1,1
1881.11,1
1881.12,1
1882.01,1
1882.02,1
1882.03,1
1882.04,1
1882.05,1
1882.06,1
1882.07,1
1882.08,1
1882.09,1
1882.1,1
1882.11,1
1882.12,1
1883.01,1
1883.02,1
1883.03,1
1883.04,1
1883.05,1
1883.06,1
1883.07,1
1883.08,1
1883.09,1
1883.1,1
1883.11,1
1883.12,1
1884.01,1
1884.02,1
1884.03,1
1884.04,1
1884.05,1
1884.06,1
1884.07,1
1884.08,1
1884.09,1
1884.1,1
1884.11,1
1884.12,1
1885.01,1
1885.02,1
1885.03,0
1885.04,0
1885.05,0
1885.06,0
1885.07,0
1885.08,0
1885.09,0
1885.1,0
1885.11,0
1885.12,0
1886.01,0
1886.02,0
1886.03,0
1886.04,0
1886.05,0
1886.06,0
1886.07,0
1886.08,0
1886.09,0
1886.1,0
1886.11,0
1886.12,0
1887.01,0
1887.02,0
1887.03,0
1887.04,0
1887.05,0
1887.06,0
1887.07,0
1887.08,0
1887.09,0
1887.1,0
1887.11,0
1887.12,0
1888.01,0
1888.02,0
1888.03,0
1888.04,0
1888.05,0
1888.06,0
1888.07,0
1888.08,0
1888.09,0
1888.1,0
1888.11,0
1888.12,0
1889.01,0
1889.02,0
1889.03,1
1889.04,1
1889.05,1
1889.06,1
1889.07,1
1889.08,1
1889.09,1
1889.1,1
1889.11,1
1889.12,1
1890.01,1
1890.02,1
1890.03,1
1890.04,1
1890.05,1
1890.06,1
1890.07,1
1890.08,1
1890.09,1
1890.1,1
1890.11,1
1890.12,1
1891.01,1
1891.02,1
1891.03,1
1891.04,1
1891.05,1
1891.06,1
1891.07,1
1891.08,1
1891.09,1
1891.1,1
1891.11,1
1891.12,1
1892.01,1
1892.02,1
1892.03,1
1892.04,1
1892.05,1
1892.06,1
1892.07,1
1892.08,1
1892.09,1
1892.1,1
1892.11,1
1892.12,1
1893.01,1
1893.02,1
1893.03,0
1893.04,0
1893.05,0
1893.06,0
1893.07,0
1893.08,0
1893.09,0
1893.1,0
1893.11,0
1893.12,0
1894.01,0
1894.02,0
1894.03,0
1894.04,0
1894.05,0
1894.06,0
1894.07,0
1894.08,0
1894.09,0
1894.1,0
1894.11,0
1894.12,0
1895.01,0
1895.02,0
1895.03,0
1895.04,0
1895.05,0
1895.06,0
1895.07,0
1895.08,0
1895.09,0
1895.1,0
1895.11,0
1895.12,0
1896.01,0
1896.02,0
1896.03,0
1896.04,0
1896.05,0
1896.06,0
1896.07,0
1896.08,0
1896.09,0
1896.1,0
1896.11,0
1896.12,0
1897.01,0
1897.02,0
1897.03,1
1897.04,1
1897.05,1
1897.06,1
1897.07,1
1897.08,1
1897.09,1
1897.1,1
1897.11,1
1897.12,1
1898.01,1
1898.02,1
1898.03,1
1898.04,1
1898.05,1
1898.06,1
1898.07,1
1898.08,1
1898.09,1
1898.1,1
1898.11,1
1898.12,1
1899.01,1
1899.02,1
1899.03,1
1899.04,1
1899.05,1
1899.06,1
1899.07,1
1899.08,1
1899.09,1
1899.1,1
1899.11,1
1899.12,1
1900.01,1
1900.02,1
1900.03,1
1900.04,1
1900.05,1
1900.06,1
1900.07,1
1900.08,1
1900.09,1
1900.1,1
1900.11,1
1900.12,1
1901.01,1
1901.02,1
1901.03,1
1901.04,1
1901.05,1
1901.06,1
1901.07,1
1901.08,1
1901.09,1
1901.1,1
1901.11,1
1901.12,1
1902.01,1
1902.02,1
1902.03,1
1902.04,1
1902.05,1
1902.06,1
1902.07,1
1902.08,1
1902.09,1
1902.1,1
1902.11,1
1902.12,1
1903.01,1
1903.02,1
1903.03,1
1903.04,1
1903.05,1
1903.06,1
1903.07,1
1903.08,1
1903.09,1
1903.1,1
1903.11,1
1903.12,1
1904.01,1
1904.02,1
1904.03,1
1904.04,1
1904.05,1
1904.06,1
1904.07,1
1904.08,1
1904.09,1
1904.1,1
1904.11,1
1904.12,1
1905.01,1
1905.02,1
1905.03,1
1905.04,1
1905.05,1
1905.06,1
1905.07,1
1905.08,1
1905.09,1
1905.1,1
1905.11,1
1905.12,1
1906.01,1
1906.02,1
1906.03,1
1906.04,1
1906.05,1
1906.06,1
1906.07,1
1906.08,1
1906.09,1
1906.1,1
1906.11,1
1906.12,1
1907.01,1
1907.02,1
1907.03,1
1907.04,1
1907.05,1
1907.06,1
1907.07,1
1907.08,1
1907.09,1
1907.1,1
1907.11,1
1907.12,1
1908.01,1
1908.02,1
1908.03,1
1908.04,1
1908.05,1
1908.06,1
1908.07,1
1908.08,1
1908.09,1
1908.1,1
1908.11,1
1908.12,1
1909.01,1
1909.02,1
1909.03,1
1909.04,1
1909.05,1
1909.06,1
1909.07,1
1909.08,1
1909.09,1
1909.1,1
1909.11,1
1909.12,1
1910.01,1
1910.02,1
1910.03,1
1910.04,1
1910.05,1
1910.06,1
1910.07,1
1910.08,1
1910.09,1
1910.1,1
1910.11,1
1910.12,1
1911.01,1
1911.02,1
1911.03,1
1911.04,1
1911.05,1
1911.06,1
1911.07,1
1911.08,1
1911.09,1
1911.1,1
1911.11,1
1911.12,1
1912.01,1
1912.02,1
1912.03,1
1912.04,1
1912.05,1
1912.06,1
1912.07,1
1912.08,1
1912.09,1
1912.1,1
1912.11,1
1912.12,1
1913.01,1
1913.02,1
1913.03,0
1913.04,0
1913.05,0
1913.06,0
1913.07,0
1913.08,0
1913.09,0
1913.1,0
1913.11,0
1913.12,0
1914.01,0
1914.02,0
1914.03,0
1914.04,0
1914.05,0
1914.06,0
1914.07,0
1914.08,0
1914.09,0
1914.1,0
1914.11,0
1914.12,0
1915.01,0
1915.02,0
1915.03,0
1915.04,0
1915.05,0
1915.06,0
1915.07,0
1915.08,0
1915.09,0
1915.1,0
1915.11,0
1915.12,0
1916.01,0
1916.02,0
1916.03,0
1916.04,0
1916.05,0
1916.06,0
1916.07,0
1916.08,0
1916.09,0
1916.1,0
1916.11,0
1916.12,0
1917.01,0
1917.02,0
1917.03,0
1917.04,0
1917.05,0
1917.06,0
1917.07,0
1917.08,0
1917.09,0
1917.1,0
1917.11,0
1917.12,0
1918.01,0
1918.02,0
1918.03,0
1918.04,0
1918.05,0
1918.06,0
1918.07,0
1918.08,0
1918.09,0
1918.1,0
1918.11,0
1918.12,0
1919.01,0
1919.02,0
1919.03,0
1919.04,0
1919.05,0
1919.06,0
1919.07,0
1919.08,0
1919.09,0
1919.1,0
1919.11,0
1919.12,0
1920.01,0
1920.02,0
1920.03,0
1920.04,0
1920.05,0
1920.06,0
1920.07,0
1920.08,0
1920.09,0
1920.1,0
1920.11,0
1920.12,0
1921.01,0
